Ind,Code,First_name,Last_name,Position,Shoots,Draft_year,Draft_round,Height,Weight,DOB,Age,Country,Place,Year,Team,Games,Goals,Assists,Points,PM,Pen,G_ev,G_pp,G_sh,Gwg,A_ev,A_pp,A_sh,S,SA,TOI,TOI_avg,FOW,FOL,HIT,BLK,TKY,GWY,PDO,OZS,DZS,OPS,DPS,Salary,Cap_hit,P/60,P1/60,GS/60,CF,CA,CF%,Rel CF%,GF,GA,xGF,xGA,xGF%,Rel xGF%,iPENT,iPEND,iSh%,ixGF,ixGF/60,ZSR,TOI%,TOI% QoT,CF% QoT,TOI% QoC,CF% QoC,GP,G,A,P,P1,GS,C+/-,G+/-,GF%,xG+/-,iP+/-,iCF,iCF/60
6286,mitchjo01,John,Mitchell,C,L,2003,5.1579999999999995,185,204,1985-01-22,33.66904006,CA,Other,2012,NYR,63,5,11,16,10,8,5,0,0,0,9,2,0,64,117,590.08,10.1,103,96,89,27,11,16,101.9,45.4,54.6,0.5,1.2,,,1.32,0.81,1.96,528,469,52.96,4.7,23,14,26.46,18.4,58.98,6.54,3,6,6.78,8.23,0.84,45.77,19.03,28.67,46.29,28.06,49.68,63.0,4,9,13,8,19.27,59,9,62.16,8.06,3,109,11.08
6287,mitchjo01,John,Mitchell,C,L,2003,5.1579999999999995,185,204,1985-01-22,33.66904006,CA,Other,2013,COL,47,10,10,20,5,18,9,1,0,1,8,2,0,72,147,638.18,16.45,171,173,99,43,28,21,101.8,45.4,54.6,1.1,1.1,1100000.0,1100000.0,1.5,1.22,1.69,561,563,49.91,1.9,22,17,20.45,22.58,47.52,-0.46,9,9,14.52,4.04,0.38,44.77,27.58,29.47,48.14,28.79,49.5,47.0,9,7,16,13,17.94,-2,5,56.41,-2.13,,123,11.56
6288,mitchjo01,John,Mitchell,C,L,2003,5.1579999999999995,185,204,1985-01-22,33.66904006,CA,Other,2014,COL,75,11,21,32,13,36,8,3,0,2,20,0,1,107,206,987.03,16.16,374,374,112,51,38,27,104.1,43.4,56.6,1.3,1.6,1100000.0,1100000.0,1.64,1.28,1.28,814,959,45.91,-1.49,38,27,27.78,40.04,40.96,-7.58,13,11,9.09,6.57,0.4,43.74,26.79,29.66,45.91,28.7,50.11,75.0,8,19,27,21,21.07,-145,11,58.46,-12.26,-2,176,10.7
6289,mitchjo01,John,Mitchell,C,L,2003,5.1579999999999995,185,204,1985-01-22,33.66904006,CA,Other,2015,COL,68,11,15,26,-9,32,7,3,1,1,14,1,0,105,203,929.7,15.51,374,361,143,56,38,18,99.8,44.3,55.7,1.1,0.8,1800000.0,1800000.0,1.29,0.97,0.59,724,978,42.54,-0.42,33,43,29.81,36.74,44.79,1.26,13,14,8.14,6.53,0.42,44.32,27.73,29.77,42.63,28.83,50.53,68.0,7,13,20,15,9.09,-254,-10,43.42,-6.93,1,172,11.1
6290,mitchjo01,John,Mitchell,C,L,2003,5.1579999999999995,185,204,1985-01-22,33.66904006,CA,Other,2016,COL,71,10,11,21,-7,52,10,0,0,3,10,1,0,101,165,871.13,15.15,415,434,85,65,33,17,99.9,39.5,60.5,0.4,1.0,1800000.0,1800000.0,1.31,0.9,0.57,643,879,42.25,-1.68,24,32,26.18,36.96,41.46,-1.03,16,11,10.34,8.24,0.57,39.57,25.31,29.01,44.0,28.78,50.11,71.0,9,10,19,13,8.26,-236,-8,42.86,-10.78,-5,140,9.64
6291,mitchjo01,John,Mitchell,C,L,2003,5.1579999999999995,185,204,1985-01-22,33.66904006,CA,Other,2017,COL,65,3,4,7,-12,45,3,0,0,1,4,0,0,57,127,740.25,12.33,298,240,88,45,29,17,97.5,49.1,50.9,-1.2,0.6,1800000.0,1800000.0,0.41,0.24,0.48,620,635,49.4,1.85,11,24,19.55,26.79,42.19,-3.4,13,5,3.85,4.77,0.39,49.32,24.13,28.66,47.39,28.22,49.69,64.0,2,3,5,3,5.95,-15,-13,31.43,-7.24,-8,118,9.56
6292,mojzito01,Tomas,Mojzis,D,L,2001,8.246,185,192,1982-05-02,36.39599563,CS,Other,2009,MIN,4,0,1,1,-1,2,0,0,0,0,0,1,0,2,5,20.08,7.15,0,0,4,0,2,1,90.9,62.5,37.5,0.1,0.0,,,,,-0.75,14,16,46.67,1.76,,1,0.38,0.41,48.1,-2.17,1,1,,0.01,0.03,71.43,12.27,26.59,45.64,28.28,46.9,4.0,,,,,-0.25,-2,-1,,-0.03,,2,5.98
6293,molleos01,Oscar,Moller,C,R,2007,2.052,178,189,1989-01-22,29.66895811,SE,Other,2009,LAK,40,7,8,15,-3,16,2,5,0,0,4,4,0,81,152,412.48,13.22,37,49,46,11,6,18,99.0,53.1,46.9,0.8,0.7,654167.0,654167.0,0.87,0.58,1.68,371,325,53.3,2.11,13,13,14.23,12.85,52.55,1.04,4,8,3.92,3.85,0.56,53.08,22.9,29.1,49.89,28.93,50.01,40.0,2,4,6,4,11.57,46,,50,1.38,4,106,15.42
6294,molleos01,Oscar,Moller,C,R,2007,2.052,178,189,1989-01-22,29.66895811,SE,Other,2010,LAK,34,4,3,7,-6,4,3,1,0,0,2,1,0,42,71,242.83,8.35,31,70,35,7,1,7,95.4,51.4,48.6,0.3,0.1,654167.0,654167.0,1.24,1.24,1.01,176,191,47.96,-1.57,7,13,6.57,7.17,47.82,-4.07,3,3,9.68,2.02,0.5,51.35,15.07,27.16,49.2,27.38,49.9,34.0,3,2,5,5,4.08,-15,-6,,-0.6,,54,13.34
6295,molleos01,Oscar,Moller,C,R,2007,2.052,178,189,1989-01-22,29.66895811,SE,Other,2011,LAK,13,1,3,4,-1,2,1,0,0,0,3,0,0,27,54,158.35,14.36,4,1,10,5,3,5,99.5,51.1,48.9,0.0,0.2,654167.0,654167.0,1.52,1.14,1.53,132,139,48.71,-1.76,5,6,4.72,5.44,46.46,-6.47,,2,5.88,1.35,0.51,51.06,24.87,30.89,51.11,29.65,49.51,13.0,1,3,4,3,4.03,-7,-1,45.45,-0.72,2,34,12.88
6296,nealja01,James,Neal,LW,L,2005,2.033,188,221,1987-09-03,31.05707769,CA,Other,2009,DAL,77,24,13,37,-11,51,15,9,0,2,12,1,0,171,282,977.28,15.52,11,20,194,27,66,26,97.4,56.0,44.0,2.8,0.9,646667.0,646667.0,1.6,1.35,1.8,824,819,50.15,-0.39,34,42,33.86,33.26,50.45,1.04,21,23,11.72,12.16,0.75,55.24,27.35,29.72,50.11,29.15,50.22,77.0,15,11,26,22,29.33,5,-8,44.74,0.6,2,219,13.45
6297,nealja01,James,Neal,LW,L,2005,2.033,188,221,1987-09-03,31.05707769,CA,Other,2010,DAL,78,27,28,55,-5,64,24,2,1,4,19,8,1,200,346,1088.22,18.12,19,41,174,32,58,26,100.1,54.7,45.3,4.8,1.2,646667.0,646667.0,2.37,1.82,2.1,970,1065,47.67,-0.17,53,58,40.99,43.76,48.37,0.23,18,26,15.79,13.87,0.76,53.56,29.15,31.13,47.68,29.63,50.1,77.0,24,19,43,33,38.14,-95,-5,,-2.77,8,255,14.06
6298,nealja01,James,Neal,LW,L,2005,2.033,188,221,1987-09-03,31.05707769,CA,Other,2011,TOT,79,22,23,45,7,66,17,5,0,3,18,5,0,212,381,1158.28,17.3,8,15,159,26,59,34,102.1,57.8,42.2,3.5,1.9,2875000.0,2875000.0,1.76,1.45,2.27,1132,1019,52.63,4.16,49,39,43.89,39.54,52.61,4.9,21,21,9.47,15.19,0.79,57.34,30.36,31.62,47.69,29.47,50.11,79.0,16,18,34,28,43.73,113,10,55.68,4.35,,304,15.75
6299,nealja01,James,Neal,LW,L,2005,2.033,188,221,1987-09-03,31.05707769,CA,Other,2011,DAL,59,21,18,39,8,60,16,5,0,3,15,3,0,160,270,1158.28,17.42,7,10,120,22,51,26,103.6,56.5,43.5,3.7,1.6,2875000.0,2875000.0,1.76,1.45,2.27,1132,1019,52.63,4.16,49,39,43.89,39.54,52.61,4.9,21,21,9.47,15.19,0.79,57.34,30.36,31.62,47.69,29.47,50.11,79.0,16,18,34,28,43.73,113,10,55.68,4.35,,304,15.75
6300,nealja01,James,Neal,LW,L,2005,2.033,188,221,1987-09-03,31.05707769,CA,Other,2011,PIT,20,1,5,6,-1,6,1,0,0,0,3,2,0,52,111,1158.28,16.54,1,5,39,4,8,8,97.3,62.8,37.2,-0.2,0.4,2875000.0,2875000.0,1.76,1.45,2.27,1132,1019,52.63,4.16,49,39,43.89,39.54,52.61,4.9,21,21,9.47,15.19,0.79,57.34,30.36,31.62,47.69,29.47,50.11,79.0,16,18,34,28,43.73,113,10,55.68,4.35,,304,15.75
6301,nealja01,James,Neal,LW,L,2005,2.033,188,221,1987-09-03,31.05707769,CA,Other,2012,PIT,80,40,41,81,6,87,22,18,0,4,29,12,0,329,579,1179.68,19.08,4,11,108,15,30,26,98.3,64.3,35.7,9.3,1.7,2875000.0,2875000.0,2.49,1.83,3.46,1314,994,56.93,3.72,70,52,56.02,44.77,55.58,2.99,25,25,9.82,17.83,0.91,63.62,30.07,31.58,53.34,29.78,49.66,80.0,22,27,49,36,67.99,320,18,57.38,11.25,,411,20.9
6302,nealja01,James,Neal,LW,L,2005,2.033,188,221,1987-09-03,31.05707769,CA,Other,2013,PIT,40,21,15,36,5,26,12,9,0,6,8,7,0,136,249,528.17,17.28,1,5,56,17,11,7,101.3,59.0,41.0,4.4,0.8,5000000.0,5000000.0,2.16,1.82,2.91,543,462,54.03,5.15,26,18,24.44,19.25,55.94,4.7,11,5,11.46,7.91,0.9,58.41,27.2,30.41,48.27,29.5,49.62,40.0,11,8,19,16,25.61,81,8,59.09,5.19,-6,169,19.2
6303,nealja01,James,Neal,LW,L,2005,2.033,188,221,1987-09-03,31.05707769,CA,Other,2014,PIT,59,27,34,61,15,55,16,11,0,4,19,15,0,238,427,840.85,18.27,5,13,58,23,31,22,101.3,58.6,41.4,6.8,1.9,5000000.0,5000000.0,2.35,1.78,3.3,897,712,55.75,10.12,49,35,36.78,28.54,56.31,10.34,15,19,9.76,11.71,0.84,57.81,28.67,30.67,49.39,29.59,50.09,59.0,16,17,33,25,46.27,185,14,58.33,8.24,4,314,22.41
6304,nealja01,James,Neal,LW,L,2005,2.033,188,221,1987-09-03,31.05707769,CA,Other,2015,NSH,67,23,14,37,12,57,20,3,0,6,13,1,0,222,429,980.27,18.05,7,10,71,30,37,31,100.0,65.5,34.5,3.4,1.8,5000000.0,5000000.0,1.84,1.53,3.15,1119,848,56.89,5.33,53,34,41.05,31.27,56.76,1.6,16,16,9.71,14.07,0.86,65.17,29.49,31.59,51.68,29.37,49.91,67.0,17,13,30,25,51.52,271,19,60.92,9.78,,353,21.61
6305,nealja01,James,Neal,LW,L,2005,2.033,188,221,1987-09-03,31.05707769,CA,Other,2016,NSH,82,31,27,58,27,65,27,4,0,3,17,10,0,268,474,1285.82,19.04,8,19,113,31,49,25,103.4,61.1,38.9,5.8,2.9,5000000.0,5000000.0,1.77,1.59,2.58,1245,1088,53.36,1.65,54,32,48.03,40.84,54.05,1.39,26,25,11.76,15.81,0.74,60.64,31.9,31.01,51.36,29.6,49.84,82.0,24,14,38,34,55.39,157,22,62.79,7.19,-1,372,17.36
6306,nealja01,James,Neal,LW,L,2005,2.033,188,221,1987-09-03,31.05707769,CA,Other,2017,NSH,70,23,18,41,-10,35,18,5,0,5,10,8,0,202,338,1013.18,17.42,3,3,84,18,40,30,98.3,56.4,43.6,3.8,0.9,5000000.0,5000000.0,1.54,1.42,2.08,992,914,52.05,0.89,37,38,41.34,37.3,52.57,1.18,11,13,10.39,13.77,0.82,55.8,29.28,30.78,51.89,29.3,49.73,70.0,16,10,26,24,35.17,78,-1,49.33,4.04,2,264,15.63
6307,nealja01,James,Neal,LW,L,2005,2.033,188,221,1987-09-03,31.05707769,CA,Other,2018,VEG,71,25,19,44,-11,24,20,5,0,6,15,4,0,202,362,995.63,17.11,0,2,44,30,49,32,98.4,55.6,44.4,3.8,0.8,5000000.0,5000000.0,1.99,1.69,2.32,960,945,50.39,-1.22,48,54,37.16,39.5,48.47,-4.95,9,26,11.11,11.65,0.7,54.15,28.69,30.58,49.56,29.38,50.0,71.0,18,15,33,28,38.49,15,-6,47.06,-2.34,17,289,17.42
6308,negrijo01,John,Negrin,D,L,2007,3.07,188,195,1989-03-25,29.49920864,CA,Other,2009,CGY,3,0,1,1,-2,2,0,0,0,0,1,0,0,3,8,27.37,9.59,0,0,0,3,1,0,91.0,56.3,43.8,0.1,-0.1,,,2.19,,2.7,45,30,60.0,-0.18,1,3,1.53,1.8,45.95,-5.7,1,,,0.09,0.2,56.25,19.2,29.65,53.25,28.97,46.83,3.0,,1,1,,1.23,15,-2,25,-0.27,-1,7,15.35
6309,niskaja01,Janne,Niskala,D,L,2004,5.147,180,199,1981-09-22,37.00381193,SE,Other,2009,TBL,6,1,2,3,0,6,0,1,0,0,2,0,0,10,18,67.08,13.42,0,0,5,1,1,6,101.5,63.9,36.1,0.3,0.2,,,1.79,,1.3,64,65,49.61,3.82,2,2,2.65,2.28,53.75,6.02,2,,,0.2,0.18,63.89,25.58,28.51,47.95,28.67,49.3,6.0,,2,2,,1.45,-1,,50,0.37,-2,14,12.52
6310,nodlan01,Andreas,Nodl,RW,L,2006,2.039,185,196,1987-02-28,31.56906659,AT,Other,2009,PHI,38,1,3,4,-15,2,1,0,0,0,3,0,0,33,62,386.55,11.09,0,0,40,14,10,20,92.6,49.5,50.5,-0.7,-0.2,,,0.47,0.47,0.27,318,352,47.46,-1.55,5,20,11.38,14.49,43.99,-5.48,1,4,3.12,2.38,0.37,49.01,22.06,29.71,47.51,28.48,49.11,38.0,1,2,3,3,1.75,-34,-15,20,-3.11,3,60,9.31
6311,nodlan01,Andreas,Nodl,RW,L,2006,2.039,185,196,1987-02-28,31.56906659,AT,Other,2010,PHI,10,0,1,1,-2,0,0,0,0,0,1,0,0,2,11,78.85,8.55,0,0,8,1,3,0,94.1,45.2,54.8,-0.1,0.0,,,0.76,,1.18,73,52,58.4,4.81,2,4,2.46,2.61,48.52,-0.13,,1,,0.3,0.23,45.16,17.62,26.47,49.6,27.69,48.12,10.0,,1,1,,1.55,21,-2,,-0.15,1,11,8.37
6312,nodlan01,Andreas,Nodl,RW,L,2006,2.039,185,196,1987-02-28,31.56906659,AT,Other,2011,PHI,67,11,11,22,14,16,9,1,1,2,11,0,0,100,151,818.67,13.16,11,8,111,25,21,29,102.7,44.6,55.4,1.1,1.3,,,1.32,1.03,1.6,776,784,49.74,0.02,32,24,35.82,33.02,52.03,1.54,5,12,8.79,9.51,0.7,45.17,25.8,30.83,49.96,29.27,50.28,67.0,8,10,18,14,21.86,-8,8,57.14,2.8,7,138,10.11
6313,nodlan01,Andreas,Nodl,RW,L,2006,2.039,185,196,1987-02-28,31.56906659,AT,Other,2012,TOT,60,3,5,8,-5,8,3,0,0,0,5,0,0,66,129,665.12,11.43,3,5,68,17,22,12,98.9,45.0,55.0,-0.7,0.5,,,0.72,0.63,0.7,585,640,47.76,-1.94,11,16,23.2,24.82,48.31,-2.41,2,5,4.69,6.27,0.57,45.4,22.61,29.66,47.46,29.09,49.65,60.0,3,5,8,7,7.74,-55,-5,40.74,-1.62,3,123,11.1
6314,nodlan01,Andreas,Nodl,RW,L,2006,2.039,185,196,1987-02-28,31.56906659,AT,Other,2012,PHI,12,0,1,1,-1,2,0,0,0,0,1,0,0,6,13,665.12,10.18,2,4,8,4,4,2,98.3,50.8,49.2,-0.2,0.1,,,0.72,0.63,0.7,585,640,47.76,-1.94,11,16,23.2,24.82,48.31,-2.41,2,5,4.69,6.27,0.57,45.4,22.61,29.66,47.46,29.09,49.65,60.0,3,5,8,7,7.74,-55,-5,40.74,-1.62,3,123,11.1
6315,nodlan01,Andreas,Nodl,RW,L,2006,2.039,185,196,1987-02-28,31.56906659,AT,Other,2012,CAR,48,3,4,7,-4,6,3,0,0,0,4,0,0,60,116,665.12,12.04,1,1,60,13,18,10,99.0,43.7,56.3,-0.5,0.5,,,0.72,0.63,0.7,585,640,47.76,-1.94,11,16,23.2,24.82,48.31,-2.41,2,5,4.69,6.27,0.57,45.4,22.61,29.66,47.46,29.09,49.65,60.0,3,5,8,7,7.74,-55,-5,40.74,-1.62,3,123,11.1
6316,nodlan01,Andreas,Nodl,RW,L,2006,2.039,185,196,1987-02-28,31.56906659,AT,Other,2013,CAR,8,0,1,1,-1,2,0,0,0,0,1,0,0,6,11,62.2,8.28,1,2,13,3,3,0,93.5,61.1,38.9,-0.1,0.0,,,0.96,,1.13,52,47,52.53,-2,1,2,1.69,1.35,55.59,2.27,,,,0.2,0.19,62.5,17.48,26.35,51.33,27.91,49.67,8.0,,1,1,,1.17,5,-1,33.33,0.34,,10,9.65
6317,oneilwe01,Wes,O'Neill,D,L,2004,4.115,193,215,1986-03-03,32.56018934,CA,Other,2009,COL,3,0,0,0,-2,4,0,0,0,0,0,0,0,1,1,31.72,10.52,0,0,5,3,0,0,90.0,61.9,38.1,0.0,-0.1,,,,,-0.72,29,29,50.0,4.59,,2,0.96,1.48,39.34,5.48,2,,,0.02,0.04,61.9,23.54,25.16,47.02,27.54,47.7,3.0,,,,,-0.38,,-2,,-0.52,-2,1,1.89
6318,oneilwe01,Wes,O'Neill,D,L,2004,4.115,193,215,1986-03-03,32.56018934,CA,Other,2010,COL,2,0,0,0,1,2,0,0,0,0,0,0,0,1,2,17.2,9.43,0,0,1,2,0,1,100.0,75.0,25.0,0.0,0.1,,,,,-0.07,13,14,48.15,1.21,,,0.28,0.56,33.33,-26.39,1,,,0.03,0.1,75,20.96,26.29,44.08,26.87,48.97,2.0,,,,,-0.02,-1,,,-0.28,-1,2,6.98
6319,oreilca01,Cal,O'Reilly,C,L,2005,5.15,183,188,1986-09-30,31.98249099,CA,Other,2009,NSH,11,3,2,5,2,2,3,0,0,0,2,0,0,6,10,122.77,12.36,35,53,0,2,8,1,104.6,60.3,39.7,0.4,0.3,500000.0,500000.0,2.44,1.95,2.06,100,110,47.62,1.1,7,3,4.79,4.83,49.79,-0.07,1,1,50,1.05,0.51,60.32,22.21,30.06,48.84,29.05,52.27,11.0,3,2,5,4,4.22,-10,4,70,-0.04,,9,4.4
6320,oreilca01,Cal,O'Reilly,C,L,2005,5.15,183,188,1986-09-30,31.98249099,CA,Other,2010,NSH,31,2,9,11,1,4,1,1,0,0,8,1,0,23,38,337.92,13.38,133,148,2,7,17,12,102.7,57.3,42.7,0.2,0.5,562500.0,562500.0,1.42,0.53,0.87,270,302,47.2,-3.17,15,12,10.82,13.38,44.71,-6.73,1,1,6.67,1.54,0.27,55.97,22.4,28.99,51.28,28.43,50.33,31.0,1,7,8,3,4.89,-32,3,,-2.56,,28,4.97
6321,oreilca01,Cal,O'Reilly,C,L,2005,5.15,183,188,1986-09-30,31.98249099,CA,Other,2011,NSH,38,6,12,18,4,2,5,1,0,1,9,3,0,44,77,538.73,16.54,231,266,5,13,29,14,100.7,48.7,51.3,0.8,0.9,562500.0,562500.0,1.56,1.23,1.46,477,474,50.16,-0.14,24,19,21.9,18.78,53.83,7.44,1,5,15.62,3.87,0.43,48.24,29.24,29.29,49.16,29.57,50.0,38.0,5,9,14,11,13.11,3,5,55.81,3.12,4,58,6.46
6322,oreilca01,Cal,O'Reilly,C,L,2005,5.15,183,188,1986-09-30,31.98249099,CA,Other,2012,TOT,33,2,5,7,-11,4,1,1,0,0,4,1,0,17,33,364.5,12.46,120,148,5,10,10,6,95.7,56.1,43.9,-0.2,0.0,1050000.0,1050000.0,0.82,0.66,-0.05,285,357,44.39,-4.01,8,18,10.88,14.23,43.33,-6.09,2,3,6.67,1.89,0.31,55.78,22.29,28.96,49.23,28.39,49.67,33.0,1,4,5,4,-0.3,-72,-10,30.77,-3.35,1,31,5.1
6323,oreilca01,Cal,O'Reilly,C,L,2005,5.15,183,188,1986-09-30,31.98249099,CA,Other,2012,NSH,5,0,1,1,-2,2,0,0,0,0,1,0,0,1,3,364.5,14.06,20,24,1,0,5,0,96.8,33.3,66.7,-0.1,0.0,1050000.0,1050000.0,0.82,0.66,-0.05,285,357,44.39,-4.01,8,18,10.88,14.23,43.33,-6.09,2,3,6.67,1.89,0.31,55.78,22.29,28.96,49.23,28.39,49.67,33.0,1,4,5,4,-0.3,-72,-10,30.77,-3.35,1,31,5.1
6324,oreilca01,Cal,O'Reilly,C,L,2005,5.15,183,188,1986-09-30,31.98249099,CA,Other,2012,PHX,22,2,3,5,-5,2,1,1,0,0,3,0,0,13,23,364.5,12.37,76,94,3,9,4,4,98.5,60.0,40.0,0.0,0.1,1050000.0,1050000.0,0.82,0.66,-0.05,285,357,44.39,-4.01,8,18,10.88,14.23,43.33,-6.09,2,3,6.67,1.89,0.31,55.78,22.29,28.96,49.23,28.39,49.67,33.0,1,4,5,4,-0.3,-72,-10,30.77,-3.35,1,31,5.1
6325,oreilca01,Cal,O'Reilly,C,L,2005,5.15,183,188,1986-09-30,31.98249099,CA,Other,2012,PIT,6,0,1,1,-4,0,0,0,0,0,0,1,0,3,7,364.5,12.11,24,30,1,1,1,2,86.7,66.7,33.3,-0.1,-0.1,1050000.0,1050000.0,0.82,0.66,-0.05,285,357,44.39,-4.01,8,18,10.88,14.23,43.33,-6.09,2,3,6.67,1.89,0.31,55.78,22.29,28.96,49.23,28.39,49.67,33.0,1,4,5,4,-0.3,-72,-10,30.77,-3.35,1,31,5.1
6326,oreilca01,Cal,O'Reilly,C,L,2005,5.15,183,188,1986-09-30,31.98249099,CA,Other,2016,BUF,20,3,4,7,-1,2,2,1,0,1,3,1,0,10,14,171.72,11.11,59,50,3,5,2,6,101.3,53.0,47.0,0.5,0.3,700000.0,700000.0,1.75,1.4,0.58,121,172,41.3,-5.1,6,6,3.89,6.93,35.95,-11.01,1,1,33.33,0.45,0.16,48.04,18.08,27.81,47.58,27.53,49.51,20.0,2,3,5,4,1.66,-51,,50,-3.04,,9,3.14
6327,oreilca01,Cal,O'Reilly,C,L,2005,5.15,183,188,1986-09-30,31.98249099,CA,Other,2017,BUF,11,0,1,1,-6,0,0,0,0,0,1,0,0,3,5,77.15,7.56,32,34,2,3,3,2,87.8,50.0,50.0,-0.1,-0.1,700000.0,700000.0,0.78,0.78,-1.02,49,78,38.58,-9.48,1,7,1.64,2.97,35.57,-14.99,,,,0.15,0.12,48.65,13.83,25.92,49.28,27.24,49.39,11.0,,1,1,1,-1.31,-29,-6,12.5,-1.33,,5,3.89
6328,oreilca01,Cal,O'Reilly,C,L,2005,5.15,183,188,1986-09-30,31.98249099,CA,Other,2018,MIN,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7.93,8.16,2,3,0,1,1,0,100.0,75.0,25.0,0.0,0.0,700000.0,700000.0,,,-1.97,5,11,31.25,-18.1,,,0.19,0.25,43.18,-13.42,,,,,,75,18.11,29.03,44.47,28.89,52.71,1.0,,,,,-0.26,-6,,,-0.06,,,
6329,olvecpe01,Peter,Olvecky,C,L,2004,3.0780000000000003,188,220,1985-10-11,32.95171026,CS,Other,2009,MIN,31,2,5,7,1,12,2,0,0,1,3,2,0,19,47,257.82,8.55,63,95,14,15,6,9,102.3,44.0,56.0,0.1,0.5,,,1.16,0.7,0.44,192,243,44.14,-2.01,9,9,5.86,10.01,36.93,-8.37,5,1,11.11,1.39,0.32,44,17.39,27.54,46.4,27.82,50.83,31.0,2,3,5,3,1.88,-51,,50,-4.15,-4,42,9.77
6330,olvecpe01,Peter,Olvecky,C,L,2004,3.0780000000000003,188,220,1985-10-11,32.95171026,CS,Other,2010,NSH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.88,7.53,0,0,0,0,1,0,100.0,25.0,75.0,0.0,0.0,,,,,0.76,4,2,66.67,4.82,,,0.07,0.07,50,-20.83,,,,,,25,16.74,29.27,51.32,28.51,47.82,1.0,,,,,0.1,2,,,,,1,7.61
6331,oreskph01,Phil,Oreskovic,D,R,2005,3.082,193,217,1987-01-26,31.65941818,CA,Other,2009,TOR,10,1,1,2,-2,21,1,0,0,0,1,0,0,12,24,148.02,16.14,0,0,22,8,1,8,96.5,53.2,46.8,0.1,0.1,,,0.81,0.41,0.32,129,151,46.07,-2.72,3,5,4.6,5.94,43.64,1.23,6,4,8.33,0.56,0.23,53.25,30.91,27.59,49.11,28.92,49.55,10.0,1,1,2,1,0.8,-22,-2,37.5,-1.34,-2,24,9.73
6332,osalaos01,Oskar,Osala,LW,L,2006,4.0969999999999995,193,219,1987-12-26,30.74495734,FI,Other,2009,WSH,2,0,0,0,-1,0,0,0,0,0,0,0,0,1,4,17.45,8.44,0,0,0,0,0,0,90.0,33.3,66.7,-0.1,0.0,,,,,0.41,20,19,51.28,2.69,,1,0.72,0.68,51.43,0.24,,1,,0.14,0.48,33.33,18.96,28.12,53.12,27.84,49.5,2.0,,,,,0.12,1,-1,,0.04,1,4,13.75
6333,osalaos01,Oskar,Osala,LW,L,2006,4.0969999999999995,193,219,1987-12-26,30.74495734,FI,Other,2010,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6.77,6.46,0,0,1,0,0,0,100.0,0.0,100.0,0.0,0.0,,,,,1.95,8,5,61.54,23.61,,,0.3,0.2,60,16.33,,,,0.1,0.89,,13.83,28.96,49.54,28.58,54.18,1.0,,,,,0.22,3,,,0.1,,3,26.59
6334,oshietj01,T.J.,Oshie,C,R,2005,1.024,180,195,1986-12-23,31.75250715,US,Other,2009,STL,57,14,25,39,16,30,7,6,1,1,15,7,3,101,183,669.68,16.35,47,62,66,21,43,15,103.5,59.1,40.9,2.9,1.9,850000.0,850000.0,1.97,1.43,2.15,517,513,50.19,2.52,31,16,23.33,19.06,55.04,4.74,12,14,9.21,6.51,0.58,59.06,25.3,29.45,48.44,28.98,50.4,57.0,7,15,22,16,24.04,4,15,65.96,4.27,2,126,11.29
6335,oshietj01,T.J.,Oshie,C,R,2005,1.024,180,195,1986-12-23,31.75250715,US,Other,2010,STL,76,18,30,48,-1,36,16,1,1,3,16,14,0,158,320,992.17,18.19,64,89,149,65,61,26,99.7,51.2,48.8,3.2,1.7,850000.0,850000.0,1.87,1.57,2.34,921,824,52.78,3.13,46,41,37.7,33.65,52.84,4.84,12,13,13.45,11.75,0.71,51.14,27.84,30.78,50.51,29.78,50.25,76.0,16,15,31,26,38.77,97,5,,4.05,1,233,14.09
6336,oshietj01,T.J.,Oshie,C,R,2005,1.024,180,195,1986-12-23,31.75250715,US,Other,2011,STL,49,12,22,34,10,15,8,3,1,3,16,6,0,103,195,701.87,19.11,100,127,71,40,47,17,100.7,55.2,44.8,2.4,1.4,850000.0,850000.0,2.05,1.88,2.81,689,582,54.21,2.53,33,25,29.39,25.38,53.66,1.38,5,19,10,7.96,0.68,54.06,29.21,30.5,51.82,29.48,49.93,49.0,8,16,24,22,32.91,107,8,56.9,4.01,14,154,13.16
6337,oshietj01,T.J.,Oshie,C,R,2005,1.024,180,195,1986-12-23,31.75250715,US,Other,2012,STL,80,19,35,54,15,50,15,3,1,3,21,13,1,188,296,1190.12,19.32,24,29,130,45,61,14,101.1,46.3,53.7,3.9,2.7,2350000.0,2350000.0,1.71,1.41,2.33,1096,966,53.15,,45,30,46.11,36.85,55.58,1.32,17,26,9.09,12.1,0.61,46.34,30.28,31.33,52.62,30.23,50.15,80.0,13,21,34,28,46.22,130,15,60,9.26,9,220,11.09
6338,oshietj01,T.J.,Oshie,C,R,2005,1.024,180,195,1986-12-23,31.75250715,US,Other,2013,STL,30,7,13,20,-5,15,4,2,1,1,4,8,1,65,130,435.1,19.06,5,8,33,24,18,12,96.2,46.0,54.0,1.4,0.6,4175000.0,4175000.0,1.1,0.97,1.48,369,359,50.69,-1.55,11,12,14.76,13.25,52.7,4.24,5,9,8.89,4.16,0.57,45.25,29.7,31.16,52.48,29.86,49.92,30.0,4,4,8,7,10.73,10,-1,47.83,1.51,4,86,11.86
